line_no,service_type,variant,note,trip_count,min_trip_minutes,max_trip_minutes,avg_trip_minutes
10,daily,ΓΑΖΙ,,36,25,55,40.86
10,daily,ΓΑΖΙ ΚΑΒΡΟΧΩΡΙ,,18,40,65,51.17
11,daily,ΠΑ.Γ.Ν.Η. / Ι.Τ.Ε. / FORTH,,2,36,36,36.0
11,daily,ΠΑΓΝΗ / Ι.Τ.Ε. FORTH / ΠΑΝΕΠΙΣΤΗΜΙΟ,,13,25,35,30.62
11,unknown,ΠΑΓΝΗ / Ι.Τ.Ε. FORTH / ΠΑΝΕΠΙΣΤΗΜΙΟ,,3,32,35,33.0
11,daily,ΠΑ.Γ.Ν.Η. / ΠΑΝΕΠ/ΜΙΟ- ΑΕΡΟΔΡΟΜΙΟ,,2,30,30,30.0
11,daily,ΠΑ.Γ.Ν.Η. / Ι.Τ.Ε. / FORTH / ΠΑΝΕΠ/ΜΙΟ,,2,36,36,36.0
11,daily,ΠΑ.Γ.Ν.Η. / Ι.Τ.Ε. FORTH / ΠΑΝΕΠΙΣΤΗΜΙΟ,,16,25,35,30.75
12,daily,ΕΛ.ΜΕ.ΠΑ.,,84,25,57,43.77
12,daily,ΕΛ.ΜΕ.ΠΑ,,6,40,45,42.67
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,164,25,52,40.24
12,unknown,ΕΛ.ΜΕ.ΠΑ,,5,40,45,42.2
14,daily,ΒΙ.ΠΕ.Η.,,6,35,52,42.83
15,daily,ΦΟΙΝΙΚΙΑ,,1,30,30,30.0
15,daily,ΦΟΙΝΙΚΙΑ / ΜΑΛΑΔΕΣ,,2,35,37,36.0
19,daily,Ι.Κ.Α. / ΑΘΑΝΑΤΟΙ / ΓΟΥΡΝΕΣ / ΕΛΜΕΠΑ,,1,30,30,30.0
19,daily,ΕΛΜΕΠΑ / ΓΟΥΡΝΕΣ / ΑΘΑΝΑΤΟΙ / ΕΛΜΕΠΑ,,1,48,48,48.0
02,daily,ΚΝΩΣΣΟΣ,,53,15,30,25.0
02,daily,ΣΚΑΛΑΝΙ,,11,20,30,28.18
02,unknown,ΣΚΑΛΑΝΙ,,7,20,30,28.57
02,unknown,ΚΝΩΣΣΟΣ,,76,15,30,25.99
02,unknown,ΣΚΑΛΑΝΙ,Σροφή Κάτω,2,30,35,32.5
02,unknown,ΚΝΩΣΣΟΣ / ΛΙΜΑΝΙ,,3,15,25,20.0
02,daily,ΣΚΑΛΑΝΙ,Σροφή Κάτω,2,30,35,32.5
02,daily,KNOSSOS,,23,20,30,24.57
02,daily,SKALANI,,7,25,30,28.57
02,unknown,SKALANI,,3,30,30,30.0
02,unknown,KNOSSOS,,28,15,25,24.46
02,unknown,SKALANI,Suction Down,2,30,35,32.5
02,daily,SKALANI,Suction Down,2,30,35,32.5
23,daily,ΝΕΟ ΚΟΙΜΗΤΗΡΙΟ.,,2,85,85,85.0
03,daily,ΦΟΡΤΕΤΣΑ,,40,20,30,26.0
06,daily,ΑΜΜΟΥΔΑΡΑ,,55,32,50,48.33
06,daily,AMMOUDARA- AIRPORT,,27,32,50,47.15
06,unknown,AMMOUDARA- AIRPORT,,13,45,50,49.62
07,daily,ΑΜΝΙΣΣΟΣ,,11,45,45,45.0
12,daily,ΑΜΝΙΣΣΟΣ / ΕΛ.ΜΕ.ΠΑ.,,1,40,40,40.0
09,daily,,,5,30,40,35.0
09,daily,ΑΓ ΣΥΛΛΑΣ / ΑΓ. ΒΛΑΣΣΗ / ΕΞΩ ΒΑΣΙΛΕΙΕΣ,,2,25,30,27.5
11,unknown,ΠΑΓΝΗ ΠΑΝΕΠ/ΜΙΟ,,2,25,25,25.0
12,unknown,ΕΛΜΕΠΑ,,2,40,40,40.0
23,daily,ΝΕΟ ΚΟΙΜΗΤΗΡΙΟ,,1,90,90,90.0
06,unknown,ΑΜΜΟΥΔΑΡΑ,,56,30,50,47.68
07,unknown,ΑΜΝΙΣΣΟΣ,,20,45,45,45.0
10,unknown,ΓΑΖΙ / ΚΑΒΡΟΧΩΡΙ,,4,30,30,30.0
10,unknown,ΓΑΖΙ,,6,25,40,32.5
10,unknown,ΚΑΒΡΟΧΩΡΙ,,2,40,40,40.0
10,unknown,ΑΕΡΟΔΡΟΜΙΟ.,,2,35,40,37.5
10,daily,ΓΑΖΙ / ΚΑΒΡΟΧΩΡΙ,,2,30,30,30.0
10,daily,ΚΑΒΡΟΧΩΡΙ,,1,40,40,40.0
10,daily,ΑΕΡΟΔΡΟΜΙΟ.,,2,35,40,37.5
11,unknown,ΠΑ.Γ.Ν.Η. ΠΑΝΕΠΙΣΤΗΜΙΟ,,2,27,27,27.0
11,daily,ΠΑ.Γ.Ν.Η. ΠΑΝ/ΜΙΟ,,1,40,40,40.0
12,unknown,ΕΛ.ΜΕ.ΠΑ. / ΜΕΣΑ ΒΙΠΕΗ,,2,30,35,32.5
12,unknown,ΑΛΛΙΚΑΡΝΑΣΟΣ / ΕΛ.ΜΕ.ΠΑ.,,1,35,35,35.0
13,unknown,ΕΛ.ΜΕ.ΠΑ.,,1,42,42,42.0
09,daily,ΒΑΣΙΛΕΙΕΣ / ΑΓ. ΒΛΑΣΣΗΣ / ΑΓ. ΣΥΛΛΑΣ,,1,35,35,35.0
09,daily,ΑΓ. ΒΛΑΣΣΗΣ / ΑΓ. ΣΥΛΛΑΣ,,1,35,35,35.0
